geneSymbol,C3N.01799,C3N.01799.N,C3L.01890,C3L.01890.N,C3N.00572,C3N.00572.N,C3N.02423,C3N.02423.N,C3N.02729,C3N.02729.N,C3L.00263,C3L.00263.N,C3N.01410,C3N.01410.N,C3N.00578,C3N.00578.N,C3N.02587,C3N.02587.N,C3L.00893,C3L.00893.N,C3N.01488,C3N.01488.N,C3N.01413,C3N.01413.N,C3N.01030,C3N.01030.N,C3N.02588,C3N.02588.N,C3N.00552,C3N.00552.N,C3L.01889,C3L.01889.N,C3N.00169,C3N.00169.N,C3L.00422,C3L.00422.N,C3L.00083,C3L.00083.N,C3N.00551,C3N.00551.N,C3N.02089,C3N.02089.N,C3L.01682,C3L.01682.N,C3N.01016,C3N.01016.N,C3N.00580,C3N.00580.N,C3N.02000,C3N.02000.N,C3N.01489,C3N.01489.N,C3N.00737,C3N.00737.N,C3N.01405,C3N.01405.N,C3N.01416,C3N.01416.N,C3N.02149,C3N.02149.N,C3N.02424,C3N.02424.N,C3L.00279,C3L.00279.N,C3N.02379,C3L.00095,C3L.00095.N,C3N.02572,C3N.02572.N,C3N.00559,C3N.00559.N,C3L.02345,C3L.02345.N,C3L.00093,C3L.00093.N,C3L.00510,C3L.00510.N,C3L.00913,C3L.00913.N,C3L.00412,C3L.00412.N,C3N.01415,C3N.01415.N,C3N.00549,C3N.00549.N,C3N.02433,C3N.02433.N,C3N.01021,C3N.01021.N,C3N.00203,C3N.00203.N,C3L.01330,C3L.01330.N,C3N.00574,C3N.00574.N,C3N.01071,C3N.01071.N,C3N.00550,C3N.00550.N,C3N.00167,C3N.00167.N,C3L.00001,C3L.00001.N,C3L.01632,C3L.01632.N,C3N.02155,C3N.02155.N,C3N.00217,C3N.00217.N,C3N.02002,C3N.02002.N,C3N.02145,C3N.02145.N,C3N.02586,C3N.02586.N,C3L.02219,C3L.02219.N,C3N.00180,C3N.00180.N,C3N.00704,C3N.00704.N,C3N.02158,C3N.02158.N,C3N.02421,C3N.02421.N,C3N.00556,C3N.00556.N,C3N.01072,C3N.01072.N,C3L.00094,C3L.00094.N,C3L.00144,C3L.00144.N,C3N.00223,C3N.00223.N,C3N.02380,C3L.01924,C3L.01924.N,C3N.00433,C3N.00433.N,C3L.01683,C3L.01683.N,C3N.00293,C3N.00293.N,C3N.02380.N,C3L.00009,C3L.00009.N,C3N.00546,C3N.00546.N,C3N.01414,C3N.01414.N,C3N.02087,C3N.02087.N,C3L.00140,C3L.00140.N,C3N.02529,C3N.02529.N,C3L.00368,C3L.00368.N,C3N.02067,C3N.02067.N,C3L.00080,C3L.00080.N,C3N.00547,C3N.00547.N,C3N.01023,C3N.01023.N,C3N.01024,C3N.01024.N,C3L.00973,C3L.00973.N,C3L.02348,C3L.02348.N,C3L.02508,C3L.02508.N,C3N.00560,C3N.00560.N,C3L.00604,C3L.00604.N,C3N.00199,C3N.00199.N,C3N.00579,C3N.00579.N,C3N.02582,C3N.02582.N,C3L.02350,C3L.02350.N,C3N.00738,C3N.00738.N,C3N.00959,C3N.00959.N,C3N.02003,C3N.02003.N,C3N.02379.N,C3N.00175,C3N.00175.N,C3N.01823,C3N.01823.N,C3L.02549,C3L.02549.N,C3L.02365,C3L.02365.N
CCDC170,-2.2512,2.7651,-0.8386,4.1825,-0.8861,4.8388,-2.6667,6.9731,-2.3264,0.6053,4.3153,0.3972,-3.7828,0.0818,-0.8871,4.8549,-1.641,5.8517,-3.2509,-2.5314,-3.7987,0.9363,-1.6075,2.7446,-2.7866,0.9586,0.2728,2.0919,-1.6834,3.1669,-1.5236,0.1581,-1.8741,0.4843,-1.3975,-1.6562,2.2132,-1.5422,-2.8480000000000003,3.1711,,,,,,,,,-0.0216,1.492,-4.2768,0.9342,-4.1892,-1.6974,-3.3151,0.6302,-1.5409,3.6229,1.0314,0.1906,-3.2375,-0.6455,-1.3818,1.8453,-2.2601,-3.0505,0.9409,-2.3979,1.1707,-1.2085,3.1934,,,,,,,,,0.0843,3.3399,-2.8067,-0.9572,-0.642,2.2448,-2.2978,0.1405,-2.8308,1.0716,-3.9185,1.9355,-4.3821,1.4485,-4.9803,-0.6005,-3.1476,-1.972,-2.2868,0.2966,-0.6507,5.3684,-2.238,0.9633,-0.3608,-1.8789,-2.4478,2.0253,2.5639,1.1072,-3.632,-1.9729,1.5467,6.6796,-5.2812,-2.7166,-2.5747,0.2904,-3.3296,-1.5816,-2.8374,2.3743,-3.0366,0.9456,-2.5275,3.2092,-4.2386,0.3056,-3.5531,1.2651,-2.3685,0.4721,-3.1105,1.0248,0.1097,10.3433,2.8584,-3.7754,-1.8676,-3.142,0.7582,-2.9281,2.0695,-3.133,1.22,1.9277,-1.3449,-0.4918,-4.4208,4.1825,-2.4155,0.5489,-0.7325,6.1196,0.8835,-1.1539,-1.2583,0.4437,0.3284,0.8364,0.5464,3.5612,-1.3101,7.6824,-2.6460000000000004,2.5776,-2.8248,2.2601,-3.131,2.934,1.1542,-1.9917,-4.4965,3.4394,-1.2551,0.2626,-1.4602,5.5893,-1.9141,-0.3927,1.5263,2.1379,-1.8173,3.6461,-2.4269,4.8106,5.7153,1.7312,-4.6198,-1.0473,-0.6703,-0.9711,-3.2915,-1.3974,2.6427,-1.8994,2.9428,-3.5458,-5.5267,1.4561,-2.6587,-0.7544,3.702
CCDC174,-0.2984,0.1092,0.0288,-0.6018,-0.7759,0.2348,0.0772,0.256,0.4231,1.6403,0.2983,-0.2167,-0.5428,1.97,-0.5658,1.6025,0.2654,0.7149,0.3873,0.3114,-0.0511,-0.8763,0.0986,-0.3378,0.5606,1.0092,0.4155,0.5516,-0.8001,1.7507,0.5411,0.647,-0.6607,-0.0552,-0.3744,-1.0733,0.758,0.1388,-0.3688,-0.7219,1.3547,-1.1954,0.3133,-0.9929,0.0842,-0.4039,-0.1719,-0.5806,0.2344,1.1365,0.625,0.3777,0.3786,1.5730000000000002,0.8909999999999999,0.8745,0.2984,-0.4935,-0.7561,-0.3145,-0.1376,1.5254,-0.5262,0.0893,-0.2486,-0.1489,3.1872,0.2397,0.2243,-0.1675,0.1123,0.9046,1.3003,-0.1235,0.0614,1.1476,1.0423,0.6549,0.7547,-0.3735,-0.2946,-0.1435,-1.4449,0.5216,-0.6859999999999999,1.2986,-1.4589,-1.4908,0.9289,-1.4034,0.4168,-3.7368,-0.6128,2.7747,1.1906,,,,,,,,,0.4723,0.3979,-1.4147,-1.032,-0.6589,0.2097,-0.69,-0.1452,-0.0196,-0.0588,1.3532,1.0943,-0.0167,0.603,-0.2664,-0.2874,-0.228,-0.3955,1.5686,-0.2915,1.696,0.3238,0.0427,-0.5032,0.1908,0.8984,-0.1824,1.2827,0.1975,0.0199,0.1597,0.1904,-0.153,0.112,0.6739,-0.3007,-0.145,-0.5164,-0.0117,0.3236,0.7625,-0.0966,-0.1773,-0.245,-0.1901,0.0073,-0.62,-0.2877,-0.0957,0.9708,0.6417,0.4082,0.215,0.1168,0.8617,-0.3268,-0.8323,0.3762,-0.3671,-0.9064,-0.4977,-0.4837,0.7739,-0.6572,0.1109,0.0739,-0.6073,0.3307,0.2802,-0.1775,-0.2805,0.9321,-0.3078,-0.0394,0.4341,0.4699,-0.2569,0.293,0.9623,1.0365,-1.3324,0.4832,1.4222,0.1945,-0.2899,0.1592,0.8854,1.0348,-0.0365,0.8092,0.6272,0.1051,0.2789,2.0029,-0.136,0.7684,-0.1801,0.1292,-0.3922
CCDC175,-1.3403,0.6185,2.5824,0.9245,2.3146,0.0833,-1.3642,0.5528,0.4943,0.2752,2.3863,-0.0843,-0.8107,0.8831,-0.0052,0.403,-0.0704,0.8452,-0.0151,1.838,-0.5226,0.8511,0.0917,1.9829,-1.6978,3.2101,-0.5805,1.3167,-1.7384,2.3937,-0.4988,0.5258,1.5228,-0.6951,-0.6063,-0.6719,-0.0646,-0.106,1.1785,0.0777,-0.096,1.3179,0.2189,0.5137,0.7253,1.0168,-0.718,0.9022,-1.2139,1.3929,-0.2017,1.2755,-1.248,0.5776,0.1816,0.8908,0.7504,1.5519999999999998,-0.615,1.4615,-0.5204,-0.7531,1.5191,1.7919,-0.6629,-0.7362,0.5605,-1.7489,-1.8776,-2.5774,-1.6899,-1.3708,1.7812,0.0678,-2.1747,-1.6563,-0.4718,-1.2584,-0.2885,1.989,0.3822,-1.0794,-0.9134,2.0179,0.049,-8.2827,-3.1257,-1.575,1.6554,-0.7365,2.0364,0.9983,3.4273,1.9986,1.7548,0.5497,2.4993,1.787,2.1065,-0.7714,-0.2271,-2.8566,1.2159,0.0226,-0.7193,0.9225,3.0633,-0.2068,2.2641,-1.4832,-1.5519999999999998,0.3022,-1.2966,-0.3763,1.8132,-2.09,-0.6026,-1.2796,1.3104,-1.4687,2.0253,-0.5858,2.6587,-0.0137,2.7606,-0.3961,2.5486,-2.7077,0.2461,-1.8443,0.5927,-2.4041,2.0486,-3.8562,-0.278,-2.8995,-1.9007,4.2976,-2.2115,2.7729,-3.4157,-1.6898,-0.0082,-1.2991,0.7096,-1.8096,0.0096,0.8654,1.3371,-0.6031,2.9805,0.4182,1.3897,2.0196,2.4813,-0.613,0.0777,-0.8692,1.4215,-0.4533,0.9559,-0.7593,-0.784,0.1602,2.859,0.1551,2.4072,-1.4605,1.1474,-0.1059,-1.26,0.0567,2.1537,-0.8808,-3.2219,-0.2976,-1.0298,-1.2919,0.0515,-1.0625,-0.3853,-1.2548,0.4526,-0.2761,-1.236,-1.6597,-0.4712,-2.1283,0.3855,-0.6376,-2.2181,0.4579,2.14,-0.6279,,,,,,,,
CCDC18,,,,,,,,,,,,,,,,,,,,,,,,,1.0603,-0.0541,-0.8378,-0.5169,-0.0296,0.7226,-1.1127,-1.846,-0.1973,-1.1787,0.9285,-0.261,1.1466,-0.9465,-2.379,-0.6318,,,,,,,,,,,,,,,,,0.7266,-0.8773,-1.297,0.6012,-0.4686,-0.1755,1.2363,-0.2103,0.1799,0.4734,-1.0149,3.0648,-0.52,-0.2595,-0.6728,-1.5145,-1.9097,0.4505,-1.5459,1.4628,-0.1667,-0.3096,-1.46,-8.1554,-3.7903,-0.4712,2.2957,6.5538,3.0383,-13.6849,0.9752,,,,,,,,,-0.4011,0.2267,3.099,-0.21,0.1402,-0.6043,-0.1962,-1.0534,,,,,,,,,1.6058,-0.7991,-0.2762,-0.2729,1.7374,-1.5687,0.3498,-1.8549,-2.6426,-1.1354,0.3583,0.3411,0.3395,-1.4348,1.5558,0.8664,-2.339,0.835,-0.1264,2.0518,0.0004,-0.2408,-2.5702,-0.4149,-1.2644,-0.6841,-2.1587,-2.4112,-2.0521,-2.1854,-1.6809,-3.2003,-3.542,-1.9799,-0.6912,-1.5941,-0.4476,-0.1822,0.8346,0.2294,-0.0957,-0.9403,-0.1914,-1.1861,-1.2448,-0.4872,2.079,0.5295,0.0988,-1.6808,1.4916,-4.9772,2.1111,-5.3931,2.5278,-3.9482,0.9066,-4.1449,-1.1446,0.301,-0.7896,0.4434,0.0338,-2.8643,1.012,-0.8259,-4.1936,-2.3015,-2.1548,-3.092,-5.5378,-3.5552,-3.4005,-1.7834,2.3125,-2.9535,-2.511,-3.7226,-3.6184,-2.0546,6.0048,-2.9004,-4.8321,-0.2809,-0.3899,-1.037,-0.421,1.7626,-0.4647,-1.0273,-0.6847
CCDC181,-0.0587,6.4061,-0.391,3.6773,-2.6494,5.4632,-3.5919,6.1805,-2.9338,-0.7375,6.4626,-1.8929,,1.0134,-2.3393,8.0443,-3.4327,4.459,-2.7543,-1.8595,-2.9155,2.0966,-0.7509999999999999,3.9704,-2.9108,-1.3165,0.7987,2.611,-2.7703,4.6295,-1.757,-0.6743,-5.3777,0.049,-5.4948,-3.1660000000000004,5.2559,-6.6649,-6.4294,1.6582,-1.2923,0.7991,-1.94,-4.021,-2.8889,0.0047,-0.2892,0.6563,1.4008,2.2644,-5.8786,0.6974,-4.4488,-3.9499,-3.916,-1.2429,-4.7915,7.4099,1.9604,-0.7153,-5.922999999999999,-3.0236,-1.0183,2.9784,-4.4772,-10.1472,-1.4551,,3.0103,0.0137,4.459,,,,,,,,,1.6522,5.3703,-1.6459,-1.1821,-1.2064,2.4816,-4.4587,-0.1032,,,,,,,,,,,,,,,,,1.091,-0.8467,-0.4956,2.3824,1.7716,0.8308,-3.9151,-1.7795,0.3745,4.2796,-6.8938,-0.6422,-4.1672,0.3107,-2.4685,-2.5494,-1.9169,3.4215,-0.96,-0.7018,-1.8143,4.171,-1.935,0.0847,-3.2639,0.2179,-2.906,-1.9258,-2.8589,0.6659,-1.7963,7.1656,0.3464,-3.0211,-3.5731,-2.486,1.3452,-1.4428,0.4686,-2.3754,-2.892,-0.017,0.3442,-1.1126,-3.0992,2.1475,-1.9869,-2.083,-0.1474,3.0362,-0.5148,-4.7533,-0.5915,-0.7785,0.6,0.2191,0.0237,4.5216,-0.9888,5.7669,-2.2483,0.3872,-3.5815,5.2053,-2.9696,2.5812,,,,,,,,,-4.1182,-1.4976,1.7413,0.8370000000000001,0.6268,4.0513,-3.1459,3.0179,8.2407,1.4077,,-3.4282,-2.6327,-10.1742,-9.3128,-1.4204,3.9349,-3.9331,2.5347,-4.7266,-3.7688,4.1454,-4.1249,-0.2112,3.5932
CCDC186,-0.6755,-0.1237,1.7289,-0.2777,0.0507,-0.1827,-0.9989,-0.2036,-0.6111,-0.3962,0.0895,-0.31,0.625,-0.5837,0.8536,-0.5937,0.4234,0.244,1.5168,-0.7361,0.0967,-0.542,-0.8336,-0.425,1.0285,-0.4018,0.449,-0.4259,1.1674,-0.6705,0.3357,-0.3187,0.3461,0.2015,0.3805,0.032,-0.4243,-0.2682,2.7676,-0.4441,0.3353,-0.4067,0.2425,-0.2978,2.6308,-0.1602,-1.9234,-0.2319,0.04,-0.2784,-0.2706,-0.2865,-0.5521,-0.6246,-0.1216,-0.1386,-0.7402,-0.4718,2.0574,0.0864,0.3719,-0.2631,-0.7943,-0.4269,0.1143,-0.002,-0.4159,-0.6921,-0.3003,0.5457,-0.7457,-0.4486,-1.1082,-1.2432,-0.8902,-1.031,-0.5852,1.1845,-1.9677,-0.284,-0.1863,1.1784,-0.017,2.0963,0.1721,0.5307,-0.2639,1.2965,-0.3847,0.3866,-0.4969,2.2985,-0.1478,-1.2327,-0.2999,-0.7664,-0.0046,-0.0762,0.2163,0.3847,-0.0541,-0.3824,0.1188,0.2731,-0.6301,-0.6508,-0.9786,-0.1195,-0.6742,1.2388,-1.1007,1.33,-0.5404,1.4467,-0.4694,1.0719,0.0144,-0.5291,-0.1128,0.6151,-0.479,-0.1615,-0.3635,1.0038,-0.4981,0.3556,-0.6765,0.6579999999999999,-0.0818,1.2131,-0.2782,-0.1451,-0.6185,0.9952,-0.6095,0.7452,1.2291,-0.4121,-0.2472,-0.8641,-0.779,0.0001,1.1799,-0.4287,0.0914,0.1363,-0.1296,-0.3904,-0.7716,0.2912,-0.6015,-0.3995,-0.2677,-0.0312,-0.053,-0.0619,-0.2918,-0.8954,0.0728,1.2292,-0.1931,-0.0208,0.6278,0.8095,-0.1832,0.8619,-0.1524,-0.1552,-0.4028,0.3011,-0.1403,0.0925,-0.6621,0.2103,-0.2842,1.3485,-0.7547,1.4788,-0.4844,-0.0419,-0.1199,-0.0081,-0.3656,0.1502,-0.5454,1.3451,-0.2814,0.0886,-0.2968,0.5855,-0.0067,0.1293,-0.3305,-0.4795,-0.3912,-0.7385,0.0629,-0.5197,1.4721,-0.7457,-0.0923,-0.9472
CCDC22,-0.8641,0.7349,-0.4014,0.8304,-0.0549,0.693,-0.6694,1.0956,-0.2071,0.8984,0.239,0.4304,-0.4466,1.0356,0.4471,0.7247,0.3018,1.0923,0.436,1.0213,-0.7162,1.2739,-0.3004,0.8325,-0.4271,1.3906,-0.4098,0.9594,-0.6212,0.5807,-0.1666,1.1076,0.2294,1.5632,0.3919,0.8411,0.3942,0.8289,-0.0492,0.9336,-0.4978,1.0094,0.2543,0.1756,-0.1037,2.4562,-0.4172,1.5225,-0.6275,0.7538,-0.2947,0.8481,-0.3947,1.0139,-0.5139,1.1286,-0.1614,0.8714,-0.6208,0.8814,-0.5578,0.677,0.6231,0.5906,-0.6647,-0.3936,1.0667,0.2813,0.9864,-0.8318,0.8478,-0.4516,1.2928,-0.0136,1.0769,-0.4258,0.8824,0.4532,0.9722,0.3421,1.499,-0.1879,0.5816,-0.4487,0.9286,0.0754,0.9493,-0.2733,0.1659,-1.0635,0.9448,0.4365,0.5679,-0.6351,0.7176,0.2569,0.7478,-0.3924,-0.0494,0.3371,0.7107,-0.4171,0.3832,-0.5449,0.9926,-0.1105,1.1475,-0.7372,1.0116,0.9697,1.2919999999999998,-0.4136,0.59,0.0243,1.55,-0.0244,1.0454,-1.0485,1.5609,0.1989,1.1071,-0.174,0.6637,-0.1535,0.6683,-0.5832,0.9343,-0.4417,1.0924,-0.2473,0.8981,-0.3452,1.395,0.1636,0.4534,-0.223,-0.2604,1.1404,0.1984,0.8624,0.2562,0.7295,-0.0979,0.2855,0.5722,0.7182,2.3894,-0.07,1.2353,-0.4209,-0.0553,0.0368,0.8422,-0.2468,1.2267,-0.6856,1.2288,0.1615,0.8792,-0.0123,0.5508,-0.7155,1.3949,-0.6408,1.2542,-0.2233,0.7856,-0.6252,0.3892,-0.2492,0.3929,-0.0178,1.0201,0.6235,-0.3154,-0.1507,0.7116,-0.4043,0.3084,-0.1881,0.2438,-0.6166,0.4248,-0.0406,0.8505,-0.5853,0.518,0.1801,1.0965,-0.2279,0.7266,-0.6623,1.073,0.4942,0.1051,0.653,-0.3702,1.0847,0.0941,0.4215,0.1184,1.2162
CCDC25,0.03240000000000004,-0.0954,-0.2661,-0.6279,1.2262499999999998,0.27735,1.5186000000000002,0.27045,-1.3785500000000002,0.42175,0.92,0.5763,1.4779,-0.4631000000000001,1.26995,0.1197,0.5757,0.8150999999999999,0.37275,-0.2485,0.33775,0.3496,1.15285,0.049,-0.73175,0.94845,-0.5105500000000001,-0.09555,-0.5882000000000001,0.4301,-1.8775,-0.4803000000000001,-0.3107,0.51585,2.0858,0.4923,0.2682,-0.55575,-0.05215,0.4944,-0.12825,-0.14555,-1.238,-0.81445,-0.22145,0.3833,-1.2162000000000002,-0.5659000000000001,-0.2581,-0.1315,-0.2672,-0.2988,0.8619,-0.379,0.6489,-0.2591,0.12205,-0.26185,0.0906,-0.22975,0.37195,0.0376,0.5386500000000001,-0.86585,-0.41165,-0.2922,-0.0325,0.4868,0.1782,-0.7944,0.0991,-0.5504,-0.1724,0.2804,-0.5371,1.2132,0.3477,1.1151,-0.4168,0.7051499999999999,0.1047,0.1148,-1.05505,1.00495,-0.24005,0.47855,-1.1646999999999998,-1.14625,-0.3715,-0.4116,-0.7683500000000001,-1.18145,-0.1824,-0.7358,-0.99105,0.4577,-0.3037,-0.0855,-0.9482,-1.1112,-0.1268,-0.5623,-0.0983,0.1554,0.1982,0.1628,0.0427,-0.594,-0.1998,-0.6026,-0.1376,-0.0885,0.1362,1.8908,0.1082,-1.4169,-0.2982,-0.063,0.0694,1.062,0.63655,0.15489999999999998,-0.89905,-1.6342,-0.44245,-0.13805,-0.88385,1.7989,0.1192,-0.0256,-0.3234,0.4158,-0.8641,-1.2495,0.0246,0.1393,-1.75625,0.16445,1.4907,0.2718,1.01385,0.0639,-0.8914,-0.9978,0.02455,-0.08849999999999998,0.6940999999999999,-1.4987999999999997,0.4897,0.22715,0.8089500000000001,-0.88925,0.91745,0.6184,0.4475,-1.0593,0.3762,0.528,0.4189,-1.7209,-0.2001,-0.0688,1.2302,-0.4047500000000001,0.4442,0.61995,1.2804,-1.7436,-0.5004,0.8139500000000001,0.16035,0.22505000000000006,0.7758,1.2432,-1.2884,1.39645,0.1338,-1.26235,2.46865,-1.02235,-0.3706,-0.19230000000000005,-0.6337,-2.62735,2.18405,0.70945,-0.01855,1.2553,-0.3956,0.6864999999999999,-1.60275,0.84805,-0.6211500000000001,-0.9293,-0.7123499999999999,2.8011,-1.39645,3.24285,-0.2804,0.7061,-2.54855,-0.3304
CCDC28A,-0.6979,0.6384,-0.2869,-0.086,-0.6152,0.8445,-0.7607,1.1391,0.2351,0.546,0.5226,-0.0181,-0.7741,-0.2122,-0.2478,0.6793,1.0259,1.1157,0.4717,0.2942,-1.325,0.1595,-0.1491,1.2371,-1.4899,-0.0777,0.3791,0.7201,0.7216,0.013,0.947,0.3076,-0.304,-0.0068,0.1418,-0.226,-0.2879,-0.6811,-0.6914,-0.4178,-0.7025,1.5948,-0.4102,1.4342,-0.5838,0.5407,-1.1853,1.005,0.1178,0.8939,-0.6564,0.1224,-0.2152,0.416,-0.0966,0.9918,-0.1614,0.5528,-1.4558,0.22,0.4151,0.677,0.7186,0.7626,-0.6971,-1.0054,1.8454,0.1652,0.5362,-0.3228,0.4933,-1.4546,0.1818,-0.1873,0.4447,1.7704,1.4521,-0.215,0.7965,-0.4524,0.9135,-1.5154,1.4051,-0.1891,1.0424,-0.133,2.375,-0.3269,0.1527,-0.9107,-0.1795,0.5617,0.0897,-0.8884,0.1558,-0.7023,1.8857,0.6096,1.4517,0.1719,3.8354,-2.0866,1.5158,-0.4966,0.2747,-0.4894,1.0407,-0.961,0.237,0.7809999999999999,0.708,0.5058,1.1909999999999998,1.5268,0.505,-0.9553,0.4162,-1.7911,0.7905,-0.5322,0.9932,-0.8997,-0.0253,-0.7619,0.7724,-0.993,0.3294,-0.7404,-0.3322,-0.9014,0.9924,-0.8546,-0.2181,0.487,0.4966,0.0997,-0.0324,1.4837,0.3945,1.1229,-0.3101,2.4342,1.1081,1.2479,0.8614,-1.1446,0.7419,-0.7679,-0.1611,-0.6166,0.4966,0.2502,1.0663,0.4291,0.4439,-0.8335,0.8558,-0.0414,0.3868,-0.3782,0.8406,0.5779,1.8326,-1.1728,1.258,-1.0328,2.0217,-0.0618,0.9822,-0.3436,0.9972,-0.4320000000000001,0.0789,0.853,1.1649,-0.1568,0.3167,-1.0626,0.5727,-0.2913,0.6633,-0.1561,0.6631,3.6278,0.7513,1.358,0.1603,-0.2234,1.1504,1.8414,0.2058,0.2779,1.639,1.3042,-1.2183,0.4688,-0.3557,0.1382,0.6778,0.6377,-0.649,0.9388
CCDC32,-0.6084,-1.0156,-0.8906,-0.4694,1.6487,-0.8145,-1.0903,-1.4377,1.8081,0.6684,0.2422,0.8125,-0.039,0.7638,-0.6904,-0.8909999999999999,2.8426,0.6448,-0.4176,0.594,0.0052,0.5167,0.9895,-0.2505,0.217,-0.3342,-0.1664,0.0156,0.3776,0.1897,1.8069,-0.3106,-0.964,0.0564,1.0603,-0.5318,0.973,0.4809,0.7096,0.2053,0.0754,0.1682,1.0684,0.4122,-0.0321,-0.104,-0.9207,0.1168,0.4644,-0.4391,-1.0422,0.3684,-1.0878,0.8394,-0.5612,-0.0246,0.6156,0.2197,1.3107,-1.0411,0.2165,0.2707,-0.8016,0.2316,-0.4162,-0.3272,0.1292,2.4099,-0.9348,-0.9784,-0.0898,0.4436,-0.7465,-0.7967,0.5557,0.9005,0.0891,-1.167,0.4395,0.0212,-0.3961,0.4897,-1.2667,-0.2536,-0.3815,-0.1292,-0.9664,-1.1692,-0.7032,-0.375,-0.7698,1.1139,-0.8931,0.2092,-1.113,-0.3231,-0.1187,1.7745,-0.281,2.2269,-1.4486,0.5359,-0.2364,-1.3749,-0.8722,-0.2016,0.5901,0.7197,-0.8687,2.6993,-0.7102,0.1315,-0.7195,2.6253,-0.0608,-0.3321,-0.2048,-0.7128,0.0883,0.0121,0.3178,0.9308,-2.2332,0.6192,-0.5698,-0.3509,-0.527,-0.2097,-0.1206,0.7539,-0.5308,0.2612,-0.2936,2.7202,-0.188,1.9449,0.5422,-0.0912,1.4711,-0.5549,0.17,-0.8863,-0.3938,-0.928,-0.4761,-1.5263,-0.1495,0.4306,-0.4909,-0.1306,-0.9791,0.8449,-1.2894,0.5165,0.4296,-1.0298,-0.0324,0.2466,-0.0735,0.5856,0.0653,0.1002,-0.1205,0.3747,0.0411,-0.1324,-0.6532,-0.0703,-0.1926,0.083,-0.8186,-0.0893,-0.9746,0.4222,-1.5254,-0.5892,-0.5637,0.2507,-0.7524,-0.578,-0.7622,-0.7647,-0.6596,0.6339,-0.4058,0.489,-0.7356,-1.5336,-1.5249,-1.2641,-0.3429,0.5151,-0.7894,-0.3899,,,,,,,,
CCDC40,-0.5381,3.7502,0.2162,3.2069,-0.8218,2.7954,-0.5463,4.769,-1.3023,3.4802,0.56,3.819,-2.2212,3.0985,-2.1819,2.4628,-0.4539,,,,,,,,,,,,,,,,0.7194,0.0862,-0.82,0.341,2.8292,2.1236,-1.934,-1.713,,,,,,,,,-1.9235,0.5214,1.0246,1.503,-0.1434,1.7959,-0.5,0.9918,,,,,,,,,-1.0771,-1.8619,-0.1673,-3.1153,0.7631,-1.8182,2.4215,-0.6193,0.9424,0.9608,3.8409,-1.2806,0.0222,-0.4105,-1.3178,1.9416,2.2604,-1.8486,3.89,-2.1331,0.4642,-5.3539,2.4994,,,,,,,,,0.7337,4.6487,0.8726,2.4031,-2.4897,0.7487,-2.1023,4.8389,-2.1143,3.0655,0.0696,2.7129,-1.8741,2.6088,-1.7627,4.2421,-2.0948,0.9363,-1.3947,1.33,-0.1398,0.8424,-2.3559,2.5477,,,,,,,,,-2.5678,1.3921,-0.8857,0.3967,-0.4635,1.1986,0.0904,1.0659,-2.3179,-1.7466,1.2449,-3.003,-1.3226,-2.0542,3.8632,-3.7427,-0.359,0.3517,1.0923,2.4332,-2.1152,1.8353,-3.0703,3.3494,-2.4036,2.8083,1.5797,-1.4184,-3.6618,0.7421,-1.8149,1.8568,-2.8938,2.1747,-0.8156,5.0516,-0.6922,-0.1224,0.0407,3.8579,-2.1032,2.4123,0.2914,2.2353,-1.4928,-0.3537,1.0825,1.2398,-0.0201,1.3686,-2.4348,0.3158,-0.9392,0.6305,-1.3864,2.1526,-3.3432,1.2546,-1.7495,2.6551,1.7814,5.183,-3.5709,2.4266,-1.0367,1.9679,1.4928,0.7765,2.7671,-0.8234,3.2557,-2.9151,1.7473,-3.4646,1.3624
